Match_ID,Match_Day,Date,Time,Home_Team,Score_Home,Away_Team,Score_Away
929515,18,Unknown Date,12:00 AM,Sheff Utd,1,Coventry,1
929516,18,Unknown Date,12:00 AM,Wimbledon FC,1,Sheff Wed,1
929517,18,Unknown Date,12:00 AM,Chelsea,1,Leeds,0
929518,19,Unknown Date,12:00 AM,Coventry,2,Ipswich,2
929519,19,Unknown Date,12:00 AM,Crystal Palace,2,Sheff Utd,0
929520,19,Unknown Date,12:00 AM,Leeds,1,Nottm Forest,4
929521,19,Unknown Date,12:00 AM,Middlesbrough,3,Blackburn,2
929522,19,Unknown Date,12:00 AM,Norwich,2,Wimbledon FC,1
929523,19,Unknown Date,12:00 AM,QPR,3,Oldham Athletic,2
929524,19,Unknown Date,12:00 AM,Sheff Wed,1,Aston Villa,2
929525,19,Unknown Date,12:00 AM,Southampton,2,Arsenal,0
929526,19,Unknown Date,12:00 AM,Tottenham,1,Chelsea,2
929527,19,Unknown Date,12:00 AM,Man Utd,2,Man City,1
929528,19,Unknown Date,12:00 AM,Everton,2,Liverpool,1
929529,20,Unknown Date,12:00 AM,Middlesbrough,0,Chelsea,0
929530,20,Unknown Date,12:00 AM,Aston Villa,2,Nottm Forest,1
929531,20,Unknown Date,12:00 AM,Ipswich,3,Man City,1
929532,20,Unknown Date,12:00 AM,Leeds,3,Sheff Wed,1
929533,20,Unknown Date,12:00 AM,Man Utd,1,Norwich,0
929534,20,Unknown Date,12:00 AM,QPR,1,Crystal Palace,3
929535,20,Unknown Date,12:00 AM,Sheff Utd,1,Everton,0
929536,20,Unknown Date,12:00 AM,Southampton,2,Coventry,2
929537,20,Unknown Date,12:00 AM,Tottenham,1,Arsenal,0
929538,20,Unknown Date,12:00 AM,Wimbledon FC,5,Oldham Athletic,2
929539,20,Unknown Date,5:00 PM,Liverpool,2,Blackburn,1
929540,21,Unknown Date,12:00 AM,Arsenal,1,Middlesbrough,1
929541,21,Unknown Date,12:00 AM,Blackburn,1,Sheff Utd,0
929542,21,Unknown Date,12:00 AM,Chelsea,1,Man Utd,1
929543,21,Unknown Date,12:00 AM,Coventry,5,Liverpool,1
929544,21,Unknown Date,12:00 AM,Everton,2,Southampton,1
929545,21,Unknown Date,12:00 AM,Man City,1,Aston Villa,1
929546,21,Unknown Date,12:00 AM,Oldham Athletic,2,Tottenham,1
929547,21,Unknown Date,12:00 AM,Sheff Wed,1,QPR,0
